SynsetID|Definition|English|Spanish|French|Italian|Portuguese|Romanian|German
entity.n.01|that which is perceived or known or inferred to have its own distinct existence (living or nonliving)|entity|entidad|entité|cosa|ente|entitate|entitet
abstraction.n.06|a general concept formed by extracting common features from specific examples|abstraction|abstracción|abstraction|astrazione|abstração|abstractizare|abstraksion
object.n.01|a tangible and visible entity; an entity that can cast a shadow|object|cosa|chose|cosa|objeto|lucru|objekt
whole.n.02|an assemblage of parts that is regarded as a single entity|whole|conjunto|ensemble|insieme|todo|ansamblu|e_plote
organism.n.01|a living thing that has (or can develop) the ability to act or function independently|organism|organismo|organisme|essere_vivente|criatura|ființă|organizëm
life.n.10|living things collectively|life|vida|vie|vita|vida|viață|ekzistencë_jete
cell.n.02|(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals|cell|célula|cellule|cellula|célula|celulă|qelizë
causal_agent.n.01|any entity that produces an effect or is responsible for events or results|causal_agent|agente_causal|cause|causa|agente_causador|agentcauzator|agjent_i_çështjeve_gjyqësorë
person.n.01|a human being|person|alguien|homme|anima|alguém|individ|dikush
animal.n.01|a living organism characterized by voluntary movement|animal|animal|animal|animale|animal|animal|bishë
plant.n.02|(botany) a living organism lacking the power of locomotion|plant|flora|flore|pianta|flora|plantă|bimë
matter.n.03|that which has mass and occupies space|matter|materia|matière|materia|matéria|materie|lëndë
food.n.01|any substance that can be metabolized by an animal to give energy and build tissue|food|alimento|aliment|cibo|alimento|aliment|lëndë_ushqyese
artifact.n.01|a man-made object taken as a whole|artifact|artefacto|artefact|artefatto|artefato|artifact|artikull
article.n.02|one of a class of artifacts|article|artículo|article|articolo|artigo|articol|artikull
cognition.n.01|the psychological result of perception and learning and reasoning|cognition|cognición|connaissance|cognizione|cognição|cogniție|aftësi_njohëse
motivation.n.01|the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior|motivation|motivación|besoin|bisogno|intenção|motiv|kërkesë
attribute.n.02|an abstraction belonging to or characteristic of an entity|attribute|atributo|attribut|attributo|atributo|atribut|atribut
state.n.02|the way something is with respect to its main attributes|state|estado|état|stato|condição|stare|gjendje
location.n.01|a point or extent in space|location|lugar|lieu|luogo|localização|loc|pozicion
shape.n.02|the spatial arrangement of something as distinct from its substance|shape|forma|forme|forma|forma|formă|formë
time.n.05|the continuum of experience in which events pass from the future through the present to the past|time|tiempo|durée|data|espaço_temporal|timp|epokë
event.n.01|something that happens at a given place and time|event|evento|évènement|evento|acontecimento|event|ndodhi
process.n.06|a sustained phenomenon or one marked by gradual changes through a series of states|process|proceso|processus|processo|processos_físicos|proces|proces
act.n.02|something that people do or cause to happen|act|acción|acte|atto|ato|faptă|aktiviteti_njerëzor
group.n.01|any number of entities (members) considered as a unit|group|agrupación|ensemble|gruppo|agrupação|grup|grup
relation.n.01|an abstraction belonging to or characteristic of two entities or parts together|relation|relación|rapport|nesso|conexão|legătură|lidhje
possession.n.02|anything owned or possessed|possession|posesión|bien|possesso|bem|posesiune|fitoj
communication.n.02|something that is communicated by or to or between people or groups|communication|comunicación|communication|comunicazione|comunicação|comunicare|komunikim
phenomenon.n.01|any state or process known through the senses rather than by intuition or reasoning|phenomenon|fenómeno|phénomène|fenomeno|fenómeno|fapt|fenomen
thing.n.02|an action|thing|cosa|chose|cosa|coisa|lucru|fakt
kindness.n.03|a kind act|kindness|bondad|amabilité|amorevolezza|amabilidade|bine|dashamirësi
accomplishment.n.01|the action of accomplishing something|accomplishment|logro|aboutissement|affermazione|conquista|realizare|arritje
feat.n.01|a notable achievement|feat|hazaña|effort|exploit|façanha|ispravă|akt_heroik
action.n.01|something done (usually as opposed to something said)|action|acción|action|azione|atividade|acțiune|aksion
interaction.n.01|a mutual or reciprocal action; interacting|interaction|interacción|interaction|interazione|interação|interacțiune|bashkëveprim
contact.n.01|close interaction|contact|contacto|contact|contatto|contato|contact|kontakt
departure.n.01|the act of departing|departure|partida|départ|dipartita|partida|depărtare|ikje
discovery.n.01|the act of discovering something|discovery|descubrimiento|découverte|rinvenimento|descoberta|aflare|gjetje
hit.n.01|(baseball) a successful stroke in an athletic contest (especially in baseball)|hit|golpe|coup|centro|batida|tușă|gjuajtje
recovery.n.03|the act of regaining or saving something lost (or in danger of becoming lost)|recovery|recuperación|recouvrement|riacquisto|recuperação|recuperare|korrigjim
arrival.n.01|accomplishment of an objective|arrival|cumplimiento|arrivée|arrivo|chegar_la-metaforicamente|realizare|ardhje
arrival.n.02|the act of arriving at a certain place|arrival|llegada|arrivée|arrivo|chegada|ajungere|mbërritje
entrance.n.03|the act of entering|entrance|entrada|entrée|entrata|entrada|intrare|anëtarësim
registration.n.01|the act of enrolling|registration|inscripción|enregistrement|immatricolazione|inscrição|înregistrare|kontigjent
return.n.02|a coming to or returning home|return|regreso|retour|ritorno|regresso|înapoiereacasă|kthim
farewell.n.02|the act of departing politely|farewell|adiós|adieu|addio|despedida|bunrămas|lamtumirë
emigration.n.01|migration from a place (especially migration from your native country in order to settle in another)|emigration|emigración|émigration|emigrazione|emigração|emigrare|dëbim_nga_atdheu
escape.n.01|the act of escaping physically|escape|fuga|évasion|fuga|escapada|evadare|arratisje
dispatch.n.02|the act of sending off something|dispatch|despacho|expédition|spedizione|envio|expediere|dërgim
attainment.n.01|the act of achieving an aim|attainment|logro|réalisation|conquista|obtenção|realizare|arritje
success.n.02|an attainment that is successful|success|éxito|réussite|successo|sucesso|izbândă|sukses
failure.n.01|an act that fails|failure|fracaso|défaillance|fallimento|erro|eșec|dështim
mistake.n.01|a wrong action attributable to bad judgment or ignorance or inattention|mistake|error|erreur|colpa|engano|eroare|defekt
blot.n.02|an act that brings discredit to the person who does it|blot|mancha|blot|macchia|mancha|poznă|njollos
oversight.n.03|a mistake resulting from inattention|oversight|olvido|bévue|dimenticanza|descuido|omisiune|gabim_i_lehtë
blunder.n.01|an embarrassing mistake|blunder|blooper|Bêtisier|abbaglio|bobagem|gafă|bëj_shkel_e_shko
inheritance.n.01|hereditary succession to a title or an office or property|inheritance|herencia|héritage|eredità|espólio|moștenire|gjë_e_trashëguar
restitution.n.03|getting something back again|restitution|devolución|restauration|resa|restituição|restituire|dëmshpërblim
reception.n.04|the act of receiving|reception|recepción|quittance|accettazione|recebimento|primire|marrje
rescue.n.01|recovery or preservation from loss or danger|rescue|entrega|sauvetage|soccorso|salvamento|salvare|dorëzim
performance.n.03|the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it|performance|cumplimiento|exécution|effettuazione|desempenho|efectuare|mënyrë_ekzekutim
mechanism.n.02|the technical aspects of doing something|mechanism|mecanismo|mécanique|congegno|mecanica|mecanism|aparat
shooting.n.01|the act of firing a projectile|shooting|disparo|lancer|colpo|pontaria|tragere|e_shtënë
kiss.n.01|the act of caressing with the lips (or an instance thereof)|kiss|beso|baiser|bacio|beijo|gură|ngjitje
comparison.n.01|the act of examining resemblances|comparison|confrontación|comparaison|commisurazione|comparação|comparare|krahasim
follow-up.n.03|a subsequent examination of a patient for the purpose of monitoring earlier treatment|follow-up|revisión|suivi|riesame|acompanhamento|reexaminare|ndjekje
influence.n.02|causing something without any direct or apparent effort|influence|influencia|influence|influenza|efeito|influențare|influencë
